chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,rms,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,spectral_rolloff,poly_features,tonnetz,zero_crossing_rate,tempogram
[0.50677759 0.7521217  0.64905553 ... 0.23149096 0.25653062 0.44612743],[0.49568228 0.71633813 0.81023597 ... 0.29250867 0.30218478 0.38963779],[0.27624509 0.2752651  0.27420264 ... 0.1967456  0.19471302 0.19293497],"[1.52211035e-06 2.50794158e-02 5.30299905e-01 ... 7.75834618e+00
 6.91354614e+00 5.16145712e+00]","[-27.32945923  -7.94814772  -0.4106401  ...   2.57995291   3.9036554
   4.68298238]",[0.0014529  0.03383569 0.04948349 ... 0.18123664 0.16865975 0.16463758],"[3810.89445794 2400.76797909 2241.15482272 ... 1811.01152722 1785.54692835
 1635.12233306]","[2954.99855297 2691.78618683 2643.3556783  ... 2326.77186974 2313.99742262
 2230.38827356]","[25.53462501 13.82419067 18.15838788 ... 22.24747989 19.84823656
 21.65614566]",[0.04889133 0.0264332  0.01225223 ... 0.00369395 0.00522882 0.00536454],"[7590.45410156 6212.32910156 6136.96289062 ... 3811.37695312 3736.01074219
 3574.51171875]","[1.69941044e-03 1.65391171e-01 6.46903455e-01 ... 1.80152906e+00
 1.87927612e+00 1.89859545e+00]","[-0.05067377 -0.01551893 -0.00374597 ... -0.02207663 -0.02162365
 -0.01471571]",[0.29101562 0.34033203 0.37304688 ... 0.046875   0.04833984 0.03759766],[0.03805978 0.0383966  0.03873575 ... 0.12917301 0.12919628 0.12922907]
[0.73048952 0.58673588 0.56925453 ... 0.46161115 0.43866204 0.4190183 ],[0.67886451 0.85308885 0.84128912 ... 0.54383268 0.45994429 0.37573498],[0.27610634 0.27402143 0.27200951 ... 0.26344604 0.26241    0.26134288],"[3.25149637e-10 1.66794501e-08 1.44184072e-07 ... 1.34565605e+01
 1.27024117e+01 9.90110151e+00]","[-26.01170386 -26.01170386 -26.01170386 ...   8.96989423   9.21138347
   7.95017124]","[7.1611585e-06 3.0545663e-05 3.0953510e-05 ... 2.5748187e-01 2.3675497e-01
 2.2592910e-01]","[5221.6924596  5347.92056335 5410.93306006 ... 1580.49641452 1427.40315613
 1290.81584349]","[3001.80805066 3022.8438741  3017.1910426  ... 2206.86751443 2044.94202411
 1851.84947848]","[21.96560915 14.33014501 15.85562585 ... 20.52756751 19.88352897
 20.73714511]",[0.29811746 0.3346234  0.25902298 ... 0.00375333 0.00282178 0.00193914],"[8807.08007812 8990.11230469 9000.87890625 ... 3692.94433594 3219.21386719
 2659.35058594]","[2.68258062e-05 1.90301193e-04 5.25553907e-04 ... 2.55591762e+00
 2.49420827e+00 2.28172021e+00]","[-0.00518385  0.00612578  0.00738291 ...  0.01454794  0.02291331
  0.03048075]",[0.34912109 0.47265625 0.60351562 ... 0.03027344 0.03759766 0.03076172],[0.0401363  0.04059174 0.04105495 ... 0.15316735 0.1532646  0.15336462]
[0.83668936 0.65188474 0.67852599 ... 0.36157063 0.53074242 0.56435037],[0.70713679 0.77297579 0.73490809 ... 0.4835475  0.64108951 0.65324784],[0.28656187 0.28669711 0.28682439 ... 0.24601671 0.24497354 0.24415054],"[3.92931750e-10 5.16288424e-08 4.68717543e-07 ... 5.76762528e+00
 9.09379425e+00 1.93795360e+01]","[-26.82725433 -26.82725433 -26.82725433 ...  -0.08181205   6.25635616
   8.31738508]","[1.0758479e-05 5.0230625e-05 5.0597497e-05 ... 2.0106454e-01 2.3024823e-01
 2.2905061e-01]","[5263.96990971 5054.22762653 5073.44530238 ... 1322.43760493 1728.85373836
 1879.13771368]","[3026.18597395 2995.11055419 2993.3981837  ... 1709.69596332 2180.81115891
 2437.28036333]","[20.63904545 14.24451738 14.56516641 ... 18.97138937 15.28399002
 21.37238679]",[0.316803   0.30680194 0.25390348 ... 0.00219083 0.01069465 0.00809084],"[8850.14648438 8925.51269531 8957.8125     ... 2648.58398438 3843.67675781
 4392.7734375 ]","[2.91869684e-05 3.56682605e-04 1.04114363e-03 ... 1.95186833e+00
 2.87041184e+00 3.56639558e+00]","[-0.01225372  0.00019363  0.00549699 ... -0.01905919  0.01031715
 -0.00219129]",[0.35302734 0.46484375 0.56787109 ... 0.04443359 0.04980469 0.04248047],[0.03122315 0.03147066 0.03171956 ... 0.20358918 0.20391799 0.20425039]
[0.54010597 0.39964605 0.36470232 ... 0.49133046 0.58824606 0.49135855],[0.59205769 0.75552836 0.82972905 ... 0.65449102 0.73873693 0.62924135],[0.27655901 0.27562956 0.27460975 ... 0.27919898 0.27871246 0.27822148],"[2.84107686e-07 1.14738638e-02 3.06682778e-01 ... 5.86960031e+00
 6.26093557e+00 3.68543675e+00]","[-25.22602798 -20.30294511 -13.56486662 ...   0.24458135   2.40105718
   2.94954126]",[0.00056854 0.03763692 0.04717442 ... 0.15206899 0.1439339  0.15435001],"[3072.89918376 2371.01834278 2348.55412316 ... 1092.51387106 1024.82312418
 1159.20489417]","[2064.43577207 1357.39950667 1337.70279068 ... 1480.72737593 1489.17827265
 1739.36560787]","[23.57277134 15.24967282 17.34561024 ... 21.57641178 18.89949932
 17.5270315 ]",[0.0316342  0.00606657 0.00633463 ... 0.0004364  0.00108931 0.00242609],"[4726.53808594 3316.11328125 3176.14746094 ... 2336.35253906 2034.88769531
 2368.65234375]","[9.26507987e-04 1.73846430e-01 8.38495198e-01 ... 1.96693614e+00
 2.11977090e+00 1.71456116e+00]",[0.02158662 0.00404451 0.00240662 ... 0.00153921 0.00301846 0.01067127],[0.25683594 0.30419922 0.34667969 ... 0.04101562 0.04150391 0.03320312],[0.04351609 0.04392328 0.04433357 ... 0.19976442 0.20031262 0.20086201]
[0.83736714 0.50936157 0.50233127 ... 0.23867031 0.24042091 0.24602686],[0.56734114 0.711995   0.78134413 ... 0.47922089 0.37310484 0.50332089],[0.27425772 0.27440357 0.27476692 ... 0.23449579 0.23352225 0.23271441],"[2.76519308e-10 1.50145256e-08 1.28331091e-07 ... 8.31364118e+00
 1.07612716e+01 7.11778899e+00]","[-26.64605907 -26.64605907 -26.64605907 ...  -5.16010562  -5.37018621
  -3.74891631]","[7.3696719e-06 2.8873696e-05 2.9231052e-05 ... 1.9486913e-01 1.8727493e-01
 1.9853741e-01]","[5253.51143026 5331.84743977 5381.8271438  ...  874.09918689  856.52735539
 1029.83423145]","[3034.36652568 3024.02252362 3006.75108001 ... 1364.53692464 1348.14264919
 1571.08986822]","[22.86229869 14.67716706 13.90339906 ... 27.04593497 23.88387713
 20.36268865]","[3.0545974e-01 2.9572132e-01 2.4673481e-01 ... 1.7987064e-04 2.9650901e-04
 8.7742525e-04]","[8828.61328125 9011.64550781 9022.41210938 ... 1152.02636719 1022.82714844
 1335.05859375]","[2.41033824e-05 1.80902790e-04 5.07395241e-04 ... 1.69033082e+00
 1.99188056e+00 1.89115979e+00]","[ 0.02077587  0.01908067  0.01292215 ...  0.02679459 -0.01465668
  0.00967469]",[0.36914062 0.4921875  0.60839844 ... 0.04345703 0.04785156 0.03759766],[0.04197392 0.0424584  0.04294925 ... 0.19205861 0.19245193 0.19285748]
[0.74033192 0.88699247 0.74149245 ... 0.27856243 0.24810507 0.3566707 ],[0.66910788 0.81188943 0.87117373 ... 0.31629728 0.35884905 0.45367699],[0.28553273 0.28497147 0.28434117 ... 0.21795684 0.2179273  0.21789105],"[3.97451339e-06 1.76706399e-01 1.98002039e+00 ... 9.27432443e+00
 9.13246166e+00 7.95418589e+00]","[-26.52867161  -3.59946072   1.9103839  ...   2.7465782    3.15519884
   4.16021195]",[0.00254563 0.07017327 0.08730218 ... 0.20888315 0.20060267 0.1999592 ],"[4612.96419885 2996.22467295 3806.85616391 ... 1766.4086466  1786.2942218
 1647.16878941]","[3199.00437725 3140.1209412  3181.72194693 ... 1994.62449698 2022.30809726
 1933.02629553]","[22.60351357 14.66981231 15.02574779 ... 21.24234642 20.66084541
 20.95255704]",[0.14887296 0.04799729 0.11658832 ... 0.00475735 0.0057453  0.00564335],"[8925.51269531 6739.89257812 7493.5546875  ... 3552.97851562 3542.21191406
 3251.51367188]","[2.80928983e-03 4.28524834e-01 1.58123920e+00 ... 2.84673954e+00
 2.84935418e+00 2.97141077e+00]","[ 0.01835309  0.00942703  0.00664676 ... -0.03171947 -0.04057394
 -0.03213542]",[0.31933594 0.38671875 0.50439453 ... 0.08203125 0.0703125  0.04980469],[0.02421423 0.02446899 0.02472735 ... 0.25686219 0.2567495  0.25663434]
[0.58853196 0.96331985 0.74348348 ... 0.62375076 0.73995167 0.5497358 ],[0.66755645 0.81668294 0.78770557 ... 0.68212481 0.61951528 0.57418641],[0.28345079 0.28321374 0.2828836  ... 0.27276299 0.27184026 0.27096206],"[6.44501950e-08 1.12230826e-01 1.29886879e+00 ... 2.13718565e+01
 2.35936126e+01 1.70383305e+01]","[-25.24655305  -3.69185888   2.08618356 ...   6.81967208   7.11092644
   7.1151949 ]","[2.2369357e-04 5.0770193e-02 5.4883301e-02 ... 2.9056934e-01 2.9671475e-01
 3.1033039e-01]","[3836.50476827 1111.99845248 1233.16232178 ... 2557.52837021 2578.51035811
 2388.07982184]","[2865.24238159 1963.43978832 2039.77042202 ... 2704.90392893 2753.50839202
 2676.39054313]","[21.65825724 12.38188218 16.63425987 ... 18.30238962 19.16507247
 19.40991332]",[0.09498779 0.00122485 0.00134208 ... 0.0380406  0.03487596 0.02388063],"[7138.25683594 3273.046875   3574.51171875 ... 5846.26464844 5921.63085938
 5512.5       ]","[3.59009000e-04 2.40946019e-01 7.91021749e-01 ... 5.07894570e+00
 5.07210678e+00 4.20613337e+00]","[-0.00320227  0.00696352  0.0097489  ... -0.01217592  0.00260587
 -0.00459589]",[0.29345703 0.31738281 0.32617188 ... 0.08642578 0.08984375 0.06494141],[0.04409276 0.04440778 0.04472597 ... 0.23118954 0.23084195 0.23049992]
[0.7596372  0.58741393 0.56954812 ... 0.22664735 0.25529    0.39403052],[0.58460153 0.74553639 0.83357492 ... 0.40344895 0.44081177 0.39490898],[0.27517379 0.27429936 0.27359554 ... 0.20525768 0.20559715 0.2060013 ],"[3.12872348e-10 1.43422155e-08 1.24925328e-07 ... 8.92125723e+00
 9.06521374e+00 8.60872147e+00]","[-26.63698559 -26.63698559 -26.63698559 ...   5.23091267   5.43383221
   5.99490075]","[6.7561741e-06 2.5575342e-05 2.5966156e-05 ... 2.0735459e-01 1.9919221e-01
 1.9540849e-01]","[5365.03211357 5082.29350656 5032.84895823 ... 1660.32288405 1588.41530996
 1314.5309642 ]","[3076.50524621 3010.60452505 3029.95428709 ... 2268.70067625 2216.8130964
 1968.1277995 ]","[18.83498534 14.85159791 15.76875537 ... 23.68627009 21.57155433
 21.08508802]",[0.3282566  0.33514243 0.26663837 ... 0.0029179  0.0029471  0.0021338 ],"[9065.47851562 8591.74804688 8580.98144531 ... 3563.74511719 3509.91210938
 2734.71679688]","[2.55607133e-05 1.88457234e-04 5.36802377e-04 ... 2.24981924e+00
 2.34349417e+00 2.57609704e+00]",[0.02731461 0.01841232 0.01090152 ... 0.01358442 0.00260415 0.01743602],[0.35888672 0.48486328 0.60644531 ... 0.06298828 0.06005859 0.04296875],[0.0301213  0.03043232 0.03074736 ... 0.16295447 0.16393811 0.16493065]
[0.57499504 0.32966309 0.1891012  ... 0.30153711 0.3366513  0.46218112],[0.6703289  0.70758763 0.78025049 ... 0.62551672 0.65299058 0.81177074],[0.26129271 0.25991283 0.25857719 ... 0.25940946 0.2601459  0.26088324],"[3.01697372e-06 9.79001546e-02 2.24571690e+00 ... 1.88802033e+01
 1.53728087e+01 8.83888471e+00]","[-27.33816061 -10.80178452  -2.13720612 ...   0.28685995   1.76053529
   2.05048439]",[0.0016044  0.07441952 0.11406063 ... 0.25910413 0.24684565 0.2444322 ],"[3547.66350416 2653.79481088 2680.91576154 ...  898.02092182  982.12133565
 1147.60927102]","[2944.70603728 2760.91411576 2788.40797619 ... 1528.02582447 1687.31692874
 1888.42874534]","[24.7497299  16.5396527  20.82161439 ... 21.47241711 20.7011354
 18.88389561]",[0.04466019 0.03431001 0.01801972 ... 0.0003346  0.00075504 0.00183785],"[7870.38574219 6169.26269531 6309.22851562 ... 1184.32617188 1302.75878906
 1711.88964844]","[2.49295152e-03 3.76739607e-01 1.48076488e+00 ... 2.91190652e+00
 2.81001613e+00 2.43111375e+00]","[ 0.01532142  0.0102979   0.00714808 ...  0.01125088  0.00476909
 -0.00026729]",[0.29736328 0.34326172 0.37255859 ... 0.03662109 0.04101562 0.03173828],[0.02408761 0.02439918 0.02471615 ... 0.27785462 0.27774734 0.27763272]
[0.31530123 0.38317527 0.23519271 ... 0.2615692  0.26785495 0.30003716],[0.45444479 0.56629091 0.47020749 ... 0.54869435 0.58136592 0.57273797],[0.18380441 0.18054986 0.17740713 ... 0.23547285 0.23637147 0.23726966],"[1.31066292e-06 4.91706021e-02 1.55019484e+00 ... 8.82496613e-01
 8.78833147e-01 5.77136260e-01]","[-26.50588488  -5.70919451   1.83005703 ...  -4.74253026  -4.63009515
  -5.36811242]",[0.00098861 0.06180047 0.09813061 ... 0.06059309 0.05635243 0.05726289],"[3515.46793978 1470.89496429 1192.29542285 ...  945.11452286  979.01419754
 1141.5297983 ]","[3025.20921954 2186.72839949 1981.82648731 ... 1757.56826464 1807.88747309
 1975.38369393]","[29.56721672 13.92250959 20.42900179 ... 26.05077657 24.18646176
 22.40074705]",[0.03299513 0.00773279 0.00212877 ... 0.00015701 0.00036442 0.00102902],"[7095.19042969 3197.68066406 2379.41894531 ... 1313.52539062 1324.29199219
 1851.85546875]",[0.00117908 0.22186747 0.95899745 ... 0.53416569 0.56946215 0.51817377],[0.01135348 0.00681638 0.004369   ... 0.02366091 0.01809983 0.01752195],[0.29003906 0.30566406 0.31640625 ... 0.04150391 0.04736328 0.03417969],[0.02455547 0.02487036 0.02518923 ... 0.07141569 0.07138911 0.07136649]
[0.38804327 0.50882701 0.53320695 ... 0.55422319 0.61517879 0.56458959],[0.49215861 0.61132846 0.59053935 ... 0.46735052 0.56088797 0.60283321],[0.27040493 0.27074594 0.27101122 ... 0.27133104 0.2706508  0.26999262],"[6.51119563e-09 1.70084549e-04 5.25190542e-03 ... 2.23151506e+00
 2.29264418e+00 1.09558745e+00]","[-26.88232352 -26.131866   -19.37899766 ...   5.18628758   4.76099783
   2.64190655]",[0.00015139 0.00979907 0.01574036 ... 0.11322933 0.09203718 0.09566457],"[6715.94221915 7569.32029444 7651.22329673 ... 2535.81975133 2396.48219058
 2385.92188636]","[2752.42584231 2185.97158861 2159.69332742 ... 2268.08792557 2231.27729369
 2237.7926777 ]","[24.03335621 14.2627884  16.46709359 ... 19.20394374 17.01098838
 17.57802174]",[0.10371695 0.09762504 0.05738511 ... 0.02253368 0.02065193 0.02277122],"[9582.27539062 9733.0078125  9754.54101562 ... 4823.4375     4726.53808594
 4683.47167969]","[ 4.09685399e-05 -2.58033637e-03 -1.75284226e-02 ...  1.69523970e+00
  1.72652475e+00  1.35862477e+00]","[ 0.07491368  0.02128499 -0.0027085  ... -0.01286174 -0.00313067
  0.00011919]",[0.36425781 0.55371094 0.74121094 ... 0.10351562 0.10400391 0.07568359],[0.09290281 0.09391808 0.09493559 ... 0.21804305 0.21810884 0.21818047]
[0.7785436  0.48328533 0.4661     ... 0.39711591 0.44897145 0.6271105 ],[0.50666311 0.60357254 0.77120782 ... 0.6468659  0.64507652 0.63795046],[0.27183438 0.27234129 0.27289357 ... 0.28098553 0.28080461 0.28048949],"[3.54140111e-10 2.33833017e-08 2.15277105e-07 ... 1.67843700e+01
 1.30616257e+01 7.00585486e+00]","[-27.63017073 -27.63017073 -27.63017073 ...   9.1582166    8.59010013
   6.7209017 ]","[8.2448078e-06 3.4152981e-05 3.4461224e-05 ... 2.7411330e-01 2.3088866e-01
 2.1935676e-01]","[5339.09214525 5051.33856794 4982.48448667 ... 1441.07565974 1549.39922028
 1556.90126813]","[3059.83190256 2963.20302019 2940.30641923 ... 2173.30660785 2238.48088763
 2217.66441378]","[21.51239307 16.16256478 15.90231803 ... 19.6371928  19.85778295
 19.18754878]",[0.31965095 0.3042622  0.24305837 ... 0.00269941 0.00320826 0.00477632],"[9000.87890625 8914.74609375 8774.78027344 ... 2842.3828125  2874.68261719
 2810.08300781]","[2.69289926e-05 2.38087071e-04 7.05161038e-04 ... 3.16073749e+00
 2.99636300e+00 2.70540609e+00]",[0.00143272 0.00215993 0.01816405 ... 0.00512397 0.00594676 0.00051508],[0.37060547 0.49023438 0.61132812 ... 0.04248047 0.04101562 0.03125   ],[0.0435416  0.04403389 0.04453301 ... 0.17454269 0.17488939 0.17524236]
[0.74223858 0.28799309 0.20869065 ... 0.472888   0.42917661 0.33749515],[0.39082451 0.44511849 0.62110803 ... 0.53936212 0.5140729  0.44810961],[0.25705828 0.25591152 0.2547867  ... 0.27773461 0.277665   0.27752636],"[1.28777531e-06 6.55062306e-02 1.65542963e+00 ... 3.78215742e+00
 3.96671618e+00 3.03344792e+00]","[-26.73880617  -7.49765553  -1.25449131 ...   5.93948639   6.28373508
   5.52305487]",[0.00093376 0.06156991 0.09091407 ... 0.12765092 0.12125763 0.12659347],"[3295.1541076  1092.54967348  877.75571924 ... 1921.62520008 1749.00368583
 1584.37088223]","[2905.01708155 1661.11318195 1373.75284502 ... 2428.54953279 2391.17421425
 2319.28653542]","[26.39799829 13.13176211 16.40743785 ... 21.51847265 20.79620143
 19.6494335 ]",[0.01817102 0.00129606 0.00045783 ... 0.00710599 0.00555424 0.00431457],"[7472.02148438 1658.05664062 1324.29199219 ... 4941.87011719 4608.10546875
 3865.20996094]","[1.34270709e-03 2.44725397e-01 9.68792347e-01 ... 1.53106015e+00
 1.55660858e+00 1.27848767e+00]","[ 0.04461809  0.02494385  0.00983719 ...  0.00592518  0.0016037
 -0.01986507]",[0.29101562 0.31494141 0.32763672 ... 0.05566406 0.06103516 0.04150391],[0.0248472  0.0252251  0.02561124 ... 0.17917986 0.17951196 0.17985302]
[0.75799494 0.52445995 0.50849952 ... 0.17536856 0.23663704 0.358017  ],[0.59295742 0.67110098 0.80013212 ... 0.30189853 0.42206518 0.49716196],[0.2798348  0.27940768 0.27900145 ... 0.25916281 0.25636347 0.2536188 ],"[2.79946121e-10 1.11014091e-08 9.47404726e-08 ... 8.53643266e-01
 6.19536836e-01 2.06501251e-01]","[-25.98516073 -25.98516073 -25.98516073 ... -11.10814894  -9.8032748
  -9.21887424]","[6.6461416e-06 2.7230499e-05 2.7927084e-05 ... 6.6142328e-02 4.7695339e-02
 4.5845415e-02]","[5235.56509835 5706.09726644 5781.58061849 ... 1627.00884079 1579.05781598
 2296.00206013]","[3031.08429269 2900.06869788 2870.33637229 ... 1859.24170657 2117.31536754
 2744.76248666]","[24.49221783 16.86255007 15.66553705 ... 21.81176074 17.98040207
 18.23548003]",[0.3324574  0.37008882 0.31964916 ... 0.00177016 0.00270446 0.01193167],"[9000.87890625 8979.34570312 8990.11230469 ... 2573.21777344 2637.81738281
 5760.13183594]","[2.46075702e-05 1.43802733e-04 4.00942232e-04 ... 5.79106100e-01
 4.84080900e-01 3.43077293e-01]","[ 0.01858397  0.00074524  0.00318735 ...  0.05414785  0.01690993
 -0.01535814]",[0.36083984 0.49316406 0.60302734 ... 0.06591797 0.05322266 0.03710938],[0.0309987  0.03134289 0.03169229 ... 0.11419568 0.11357101 0.11295428]
[0.46326469 0.82984488 0.58649878 ... 0.15954694 0.15361517 0.19686329],[0.60513705 0.83589219 0.71577086 ... 0.46299508 0.43335287 0.50015199],[0.28100156 0.28066992 0.28030928 ... 0.27697812 0.27587639 0.27459562],"[2.02114601e-06 2.32799914e-01 3.10855693e+00 ... 2.13551913e+01
 1.80197189e+01 1.34069716e+01]","[-25.19790093  -1.9850488    3.30353293 ...   3.16983301   3.88765118
   3.13023606]",[0.0012118  0.07564016 0.10808304 ... 0.29319862 0.26970813 0.26209143],"[3947.3030627  1516.85719095 1332.8832796  ... 1617.34824415 1609.49210899
 1696.12833916]","[3316.91929304 2443.01957041 2306.59508743 ... 2561.02225523 2522.87326064
 2533.77763174]","[22.0899138   9.78502037 10.49339059 ... 26.90073203 23.24828192
 21.61766809]",[0.03858873 0.00544498 0.00268561 ... 0.00056645 0.00152244 0.00391165],"[8505.61523438 3822.14355469 3186.9140625  ... 4489.67285156 4005.17578125
 4231.27441406]","[1.59903582e-03 3.84253584e-01 1.16368459e+00 ... 2.20047262e+00
 2.26973286e+00 2.47262754e+00]",[0.03306639 0.00817467 0.00393255 ... 0.02406103 0.0329279  0.02272199],[0.30371094 0.32373047 0.32666016 ... 0.04101562 0.04101562 0.03027344],[0.04940196 0.05000443 0.0506143  ... 0.14131558 0.14086074 0.14041128]
[0.59874553 0.5334418  0.77903472 ... 0.5039435  0.62688055 0.55479429],[0.52026743 0.72997646 0.85917804 ... 0.41793059 0.48549702 0.49078849],[0.28066097 0.28070888 0.28074226 ... 0.24200545 0.23888269 0.23608868],"[6.79207619e-09 1.12367526e-04 2.73945664e-03 ... 9.11458822e+00
 1.18849573e+01 9.46473137e+00]","[-28.69223675 -23.93598301 -17.96975932 ...   6.25100137   7.99465485
   6.71457909]","[1.3159950e-04 4.0126285e-03 5.1078047e-03 ... 2.0832509e-01 2.0855981e-01
 2.1719693e-01]","[5122.82168229 4681.26557947 4520.74355882 ... 1185.0302541  1643.93156216
 1769.84588379]","[2709.57171627 2672.47130872 2721.80091405 ... 2171.64977249 2228.10999829
 2299.26733809]","[26.47791286 12.53660789 15.89293706 ... 19.05500801 17.02613762
 17.32421215]",[0.15576452 0.3289949  0.32248715 ... 0.00104017 0.00370783 0.00507191],"[8193.38378906 7784.25292969 7795.01953125 ... 3143.84765625 4306.640625
 4468.13964844]","[1.19101298e-04 1.98271405e-02 9.53788059e-02 ... 1.54939934e+00
 2.32962716e+00 2.30164880e+00]","[-0.0584758  -0.01366694 -0.00285565 ...  0.03843607  0.01571804
  0.00087447]",[0.36181641 0.46191406 0.54980469 ... 0.01904297 0.03173828 0.02832031],[0.03502313 0.03530707 0.03559442 ... 0.16334807 0.16387644 0.16440684]
[0.4863978  0.3765033  0.40411942 ... 0.2670361  0.45565132 0.36089706],[0.69082473 0.85020916 0.76122517 ... 0.68225323 0.63413717 0.59194604],[0.28723605 0.28702365 0.2867769  ... 0.27191014 0.27188241 0.27175814],"[3.14994282e-06 3.58222439e-02 8.49268302e-01 ... 2.07863815e+00
 2.11933687e+00 3.07799423e+00]","[-28.82056375 -14.48208383  -9.48604099 ...   3.59712256   2.9158416
   0.93881328]",[0.00250175 0.07179831 0.10064819 ... 0.11988397 0.1134617  0.10511543],"[4984.43503995 4785.91051362 4876.73708631 ... 2380.55956027 2244.40900983
 2138.35911281]","[2742.86256688 2896.18741329 2952.59965583 ... 2470.86349441 2438.61399796
 2334.11082267]","[25.52891818 12.46663013 14.20592634 ... 18.8763798  17.96182279
 20.30400244]",[0.06298454 0.30787984 0.2790256  ... 0.03127103 0.02556253 0.01356275],"[8634.81445312 8494.84863281 8828.61328125 ... 5555.56640625 5426.3671875
 5124.90234375]",[0.0023637  0.30273212 1.40903793 ... 1.70067721 1.70342466 1.77919871],"[ 0.02516869  0.01304904  0.00789623 ...  0.00491973 -0.00426577
 -0.00525282]",[0.32910156 0.42919922 0.51904297 ... 0.12744141 0.10595703 0.078125  ],[0.02692105 0.02715626 0.02739417 ... 0.12195172 0.12158441 0.12122321]
[0.40376207 0.29831937 0.2858175  ... 0.27289975 0.36018816 0.67675114],[0.67217975 0.78502581 0.71773026 ... 0.57628348 0.64435034 0.56013482],[0.2794193  0.28010199 0.28078992 ... 0.26589967 0.26624535 0.26657182],"[4.74265170e-06 2.96871433e-02 3.60798282e-01 ... 1.60951070e+00
 1.66351823e+00 2.09227720e+00]","[-27.50506556 -14.66962131  -9.53218784 ...   0.90759829  -0.61031155
  -0.48717531]",[0.00209623 0.02864368 0.02902162 ... 0.10448728 0.10293398 0.10512149],"[3535.27744405 2200.67098092 1983.73008414 ... 4584.91024904 4705.6264464
 3848.76028977]","[2727.93913016 2062.4565966  1868.79422563 ... 3353.1860759  3367.6315453
 3283.2073803 ]","[27.27143923 15.66852023 17.30912357 ... 21.16279326 18.43552899
 18.99436257]",[0.02333188 0.01244884 0.0072506  ... 0.10077817 0.18187459 0.10765541],"[6890.625      3908.27636719 3692.94433594 ... 8699.4140625  8753.24707031
 8085.71777344]",[0.00258378 0.20670207 0.68998961 ... 1.09278132 1.42100029 1.7958685 ],[0.02046855 0.01478666 0.00324491 ... 0.02244357 0.02252851 0.02497127],[0.29052734 0.32519531 0.35253906 ... 0.23339844 0.21777344 0.171875  ],[0.04413993 0.04451628 0.04489392 ... 0.12634279 0.12654419 0.12675328]
[0.52459725 0.52779109 0.36364646 ... 0.39276221 0.43000327 0.48236331],[0.43875154 0.56622746 0.61889542 ... 0.41376367 0.52472854 0.55240934],[0.28346647 0.28381567 0.28405074 ... 0.25759394 0.25700634 0.25637016],"[6.44988214e-07 9.76736798e-03 2.00077168e-01 ... 3.11426646e+00
 2.52567244e+00 1.68051639e+00]","[-26.09906069 -12.52612139  -6.03653723 ...   2.08007438   2.12094154
   1.14195816]",[0.00065031 0.02402993 0.03207004 ... 0.11232088 0.1042512  0.09870815],"[2584.9726209  2197.64325497 2178.71822363 ... 1500.77868565 1637.99273455
 1830.74649594]","[2172.0324812  1776.21947379 1782.05804193 ... 2505.26241813 2113.67996006
 2053.13506183]","[25.35761149 18.35406775 19.12950072 ... 19.00344266 18.56367946
 16.77509356]",[0.01765872 0.01036092 0.00824942 ... 0.0022742  0.00613731 0.01115119],"[4974.16992188 4026.70898438 4123.60839844 ... 2842.3828125  3176.14746094
 3779.07714844]","[1.13601964e-03 1.59402271e-01 6.74650721e-01 ... 1.19085468e+00
 1.46427878e+00 1.49254436e+00]","[ 0.0004605  -0.00465159 -0.00505146 ...  0.05420803  0.02653846
 -0.00629909]",[0.30029297 0.33789062 0.35644531 ... 0.05224609 0.06054688 0.04931641],[0.04478757 0.04534388 0.04590758 ... 0.10975177 0.11012733 0.11051283]
[0.55769198 0.8709629  0.6373265  ... 0.51345408 0.50704039 0.48172896],[0.57232539 0.66443971 0.62707466 ... 0.64654956 0.6474233  0.62244256],[0.27152016 0.27207152 0.27268484 ... 0.27116995 0.27140032 0.27158767],"[5.31921470e-05 7.42187149e-01 1.25916239e+01 ... 1.09832681e+01
 1.16612872e+01 1.31532637e+01]","[-20.57274936  -3.64500448   1.91752708 ...   4.33806775   5.59896971
   7.00531955]",[0.00582046 0.16990422 0.20753072 ... 0.24331911 0.23995641 0.23511545],"[2612.4192731  1767.78068772 2289.28099246 ... 2405.8207756  2204.30859444
 1967.9678737 ]","[2443.32334964 2018.29044114 2436.57287465 ... 2603.1318594  2562.13036384
 2397.60279095]","[24.00807113 14.00106244 15.89605559 ... 22.64706828 18.02627779
 18.52446844]",[0.01605571 0.01565132 0.03277071 ... 0.02375242 0.0221804  0.01434727],"[5211.03515625 3639.11132812 4931.10351562 ... 5523.26660156 5157.20214844
 4500.43945312]",[0.0099263  1.06870423 4.27302283 ... 3.60418037 3.99468736 4.21955598],"[-0.00687334 -0.0055622   0.00543159 ...  0.03169255  0.02419549
 -0.00870805]",[0.2734375  0.30615234 0.35644531 ... 0.10253906 0.09130859 0.06591797],[0.02782557 0.02812711 0.02843274 ... 0.22544991 0.22546832 0.22549014]
